date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:37	95807/95807	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202024%2005:34:53%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=	C:/My%20Web%20Sites/njj/dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate554e.html	(from )
22:34:39	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Aug%202024%2005:34:55%20GMT	https://dc.crsorgi.gov.in.lndax.fun/robots.txt		(from )
22:34:43	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2238d63-xawd7pYctZoEUlbsID9p4xeHL3w%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/njj/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/css/bootstrap.min.css	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
22:34:46	1534/1534	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2007%20Jul%202024%2013:40:55%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/manifest.webmanifest	C:/My%20Web%20Sites/njj/dc.crsorgi.gov.in.lndax.fun/crs/manifest.webmanifest	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
22:34:47	346752/346752	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jul%202024%2013:41:06%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/styles.d9a92685a7b2d205a93d.css	C:/My%20Web%20Sites/njj/dc.crsorgi.gov.in.lndax.fun/crs/styles.d9a92685a7b2d205a93d.css	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
22:34:48	94546/94546	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2013:40:57%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	C:/My%20Web%20Sites/njj/dc.crsorgi.gov.in.lndax.fun/crs/footer-logo-sprite-3.150ba99c6fa2a0b159c8.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
22:34:49	2091/2091	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2007%20Jul%202024%2013:40:54%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/flag.svg	C:/My%20Web%20Sites/njj/dc.crsorgi.gov.in.lndax.fun/crs/flag.svg	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
22:34:49	5318/5318	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2013:40:54%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/emblem.png	C:/My%20Web%20Sites/njj/dc.crsorgi.gov.in.lndax.fun/crs/emblem.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
22:34:50	6340/6340	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jul%202024%2013:40:53%20GMT	https://dc.crsorgi.gov.in.lndax.fun/crs/azadi_logo_light-min.png	C:/My%20Web%20Sites/njj/dc.crsorgi.gov.in.lndax.fun/crs/azadi_logo_light-min.png	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
22:34:52	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/My%20Web%20Sites/njj/code.jquery.com/jquery-3.7.1.min.js	(from https://dc.crsorgi.gov.in.lndax.fun/crs/verifycertificate.php?id=MjY3OTQ=)
